text,label
"The Ministry of Education announced the start of summer vacation next week for all schools.","Real"
"BREAKING: Scientists found a way to live forever by eating plastic bottles.","Fake"
"Egypt signs a 10 billion dollar agreement to build a new green energy plant.","Real"
"SHOCKING: NASA admitted that the Earth is actually a giant cube.","Fake"
"The Central Bank of Egypt maintained interest rates at the current levels.","Real"
"URGENT: Drinking salt water proven to cure COVID-19 in 5 minutes.","Fake"
"Apple unveiled its new iPhone 16 with improved AI capabilities.","Real"
"EXPOSED: World leaders are replaced by robots every 10 years.","Fake"
"The Suez Canal achieved record revenues of 9 billion dollars this year.","Real"
"Secret documents show that dinosaurs are still alive in Antarctica.","Fake"
"اعلن وزير الصحة عن افتتاح 10 مستشفيات جديدة في محافظات الصعيد","Real"
"عاجل اكتشاف مدينة من الذهب الخالص تحت الاهرامات والحكومة تخفي الخبر","Fake"
"ارتفع معدل النمو الاقتصادي في مصر ليصل الى 4 بالمئة هذا العام","Real"
"صدمة العلماء يؤكدون ان شرب البنزين يقوي المناعة ضد الامراض","Fake"
"وقعت مصر اتفاقية لتطوير السكك الحديدية بالتعاون مع المانيا","Real"
"فضيحة كبرى لقاحات الاطفال تحتوي على مواد للتحكم في التفكير","Fake"
"حقق المنتخب الوطني فوزا كبيرا في التصفيات المؤهلة لكأس العالم","Real"
"خطير جدا الموبايل بيصورك وانت نايم وبيبعت الصور لجهات مجهولة","Fake"
"افتتاح اكبر محطة لتوليد طاقة الرياح في منطقة الزعفرانة","Real"
"يا ناس الحقوا السكر في التموين فيه مواد بتسبب العقم","Fake"
"The global economy is projected to grow by 3 percent next year according to the IMF.","Real"
"Aliens have officially landed in Cairo and are meeting with the government.","Fake"
"New research shows that Mediterranean diet reduces heart disease risk significantly.","Real"
"Drinking orange juice after 8 PM is poisonous and causes instant death.","Fake"
"SpaceX successfully launched 60 new Starlink satellites into orbit.","Real"
"The moon is actually a giant hollow spaceship controlled by secret societies.","Fake"
"Microsoft reported a 20 percent increase in cloud services revenue.","Real"
"Secret frequency emitted from TVs causes people to become addicted to shopping.","Fake"
"The World Health Organization declared the end of the global health emergency.","Real"
"Eating chocolate bars can replace 8 hours of sleep per day scientists say.","Fake"
"بدأت الحكومة تنفيذ خطة لتطوير العشوائيات وتحويلها لمناطق سكنية حضارية","Real"
"عاجل اكتشاف نفق سري يربط بين القاهرة ونيويورك تحت المحيط","Fake"
"تراجعت اسعار الذهب اليوم في الاسواق المصرية بنسبة 2 بالمئة","Real"
"فضيحة اللحوم المجمدة في السوبر ماركت كلها لحوم كائنات فضائية","Fake"
"اعلنت وزارة الاتصالات عن تغطية كافة القرى بخدمات الانترنت السريع","Real"
"خطير جدا الانترنت هيفصل عن العالم كله لمدة سنة كاملة تبدأ غدا","Fake"
"فازت مصر بجائزة افضل وجهة سياحية في الشرق الاوسط لعام 2024","Real"
"صدمة اكتشاف ان الاهرامات كانت ابراج لتوليد الكهرباء لاسلكيا","Fake"
"انطلاق فعاليات معرض القاهرة الدولي للكتاب بمشاركة 1200 دار نشر","Real"
"الحقوا الملح اللي في المحلات مسموم وبيجيب فشل كلوي في يومين","Fake"
"The United Nations approved a new resolution to protect digital privacy.","Real"
"Scientists discovered a dragon egg in a volcano in Hawaii.","Fake"
"Global oil prices dropped by 5 percent due to increased supply.","Real"
"Walking backwards for 10 minutes cures all types of back pain.","Fake"
"Toyota announced a new line of solid-state batteries for EVs.","Real"
"Secret experiment in the clouds is changing the color of the sky.","Fake"
"A new archaeological discovery in Luxor reveals a previously unknown tomb.","Real"
"If you share this message 10 times you will get 1000 dollars from WhatsApp.","Fake"
"The European Union introduced stricter regulations on artificial intelligence.","Real"
"SHOCKING: Eating pizza every day makes you lose weight faster than exercise.","Fake"
